year,rank
2002,-121
2003,-148
2004,-140
2005,-138
2006,-147
2007,-144
2008,-141
2009,-153
2010,-140
2011,-142
2013,-148
2014,-148
2015,-152
2016,-148
2017,-148
2018,-148
2019,-149
2020,-149
2021,-150
2022,-155
