year,iso,rank,score
2002,RUS,121,48.0
2003,RUS,148,49.5
2004,RUS,140,51.38
2005,RUS,138,48.67
2006,RUS,147,52.5
2007,RUS,144,56.9
2008,RUS,141,47.5
2009,RUS,153,60.875
2010,RUS,140,49.9
2011,RUS,142,66.0
2013,RUS,148,56.58
2014,RUS,148,57.22
2015,RUS,152,55.03
2016,RUS,148,50.97
2017,RUS,148,50.55
2018,RUS,148,50.04
2019,RUS,149,49.69
2020,RUS,149,51.08
2021,RUS,150,51.29
2022,RUS,155,38.82
